ID,sp_names,FaunalGroup,EcologicalGroup
1,nem_ereb,1,2
2,neo_bern,1,1
3,neo_grae,1,1
4,neo_lept,1,1
5,neo_midg,1,1
6,ano_dahl,1,3
7,neo_ater,1,3
8,neo_hyrt,1,3
9,neo_pseu,1,3
10,por_rend,1,6
11,arr_scle,1,2
12,str_kref,1,3
13,cra_mari,1,6
14,cra_ster,1,6
15,cra_stra,1,6
16,mel_auso,1,6
17,mel_exqu,1,6
18,mel_nigr,1,6
19,pse_tenn,1,6
20,oph_spp,1,3
21,amb_spnw,1,6
22,amb_agra,1,6
23,amb_macl,1,6
24,den_band,1,6
25,lat_calc,1,1
26,amn_perc,1,5
27,hep_fuli,1,5
28,lei_unic,1,5
29,pin_midg,1,6
30,syn_butl,1,5
31,glo_apri,1,6
32,tox_chat,1,3
33,tox_lore,1,3
34,liz_orde,1,2
35,glo_aure,1,4
36,glo_giur,1,4
37,glo_sp2m,1,4
38,hyp_burr,1,6
39,hyp_comp,1,4
40,mog_mogu,1,6
41,oxy_line,1,3
42,oxy_selh,1,3
43,lep_trir,1,4
44,meg_cypr,1,1
45,CAR_INSC,2,1
46,CHE_BUR,2,2
47,CHE_RUG,2,3
48,ELS_DEN,2,4
49,MYU_LAT,2,5
50,EMY_VIC,2,6
51,EMY_TAN,2,6
52,EMY_WOR,2,6
53,ACTI_HYP,3,4
54,ANAS_GRA,3,1
55,ANAS_SUP,3,1
56,ANSE_SEM,3,2
57,ARDE_ALB,3,3
58,ARDE_INT,3,3
59,ARDE_PAC,3,3
60,ARDE_PIC,3,3
61,ARDE_SUM,3,3
62,AREN_INT,3,4
63,AYTH_AUS,3,1
64,BUBU_IBI,3,3
65,BUTO_STR,3,3
66,CALI_ACU,3,4
67,CALI_ALB,3,4
68,CALI_CAN,3,4
69,CALI_FER,3,4
70,CALI_FUS,3,4
71,CALI_RUF,3,4
72,CALI_TEN,3,4
73,CHAR_LES,3,4
74,CHAR_MON,3,4
75,CHAR_RUF,3,4
76,CHAR_VER,3,4
77,CHLI_HYB,3,5
78,CHLI_LEU,3,5
79,CYGN_ATR,3,2
80,DEND_ARC,3,1
81,DEND_EYT,3,2
82,EGRE_GAR,3,3
83,EGRE_NOV,3,3
84,EPHI_ASI,3,3
85,ERYT_CIN,3,4
86,ESAC_NEG,3,3
87,EULA_CAS,3,4
88,FULI_ATR,3,2
89,GALL_MEG,3,4
90,GALLI_VE,3,2
91,GALLIR_P,3,4
92,GLAR_MAL,3,4
93,GRUS_RUB,3,3
94,HAEM_FUL,3,3
95,HAEM_LON,3,3
96,HIMA_HIM,3,4
97,IRED_GAL,3,1
98,IXOB_FLA,3,3
99,LARU_NOV,3,5
100,LIMO_LAP,3,4
101,MALA_MEM,3,1
102,MICR_MEL,3,6
103,NETT_PUL,3,1
104,NUME_MAD,3,4
105,NUME_MIN,3,4
106,NUME_PHA,3,4
107,NYCT_CAL,3,3
108,PELE_CON,3,6
109,PHAL_CAR,3,6
110,PHAL_SUL,3,6
111,PHAL_VAR,3,6
112,PLAT_FLA,3,3
113,PLAT_REG,3,3
114,PLEG_FAL,3,3
115,PLUV_FUL,3,4
116,PLUV_SQU,3,4
117,POLI_POL,3,1
118,PORP_POR,3,2
119,PORZ_CIN,3,4
120,PORZ_PUS,3,4
121,RECU_NOV,3,4
122,STER_ALB,3,5
123,STER_BEN,3,5
124,STER_BER,3,5
125,STER_CAS,3,5
126,STER_HIR,3,5
127,STER_NIL,3,5
128,STER_SUM,3,5
129,STIL_ISA,3,4
130,TACH_NOV,3,1
131,TADO_RAD,3,1
132,THRE_MOL,3,3
133,THRE_SPI,3,3
134,TRIN_GLA,3,4
135,TRIN_NEB,3,4
136,TRIN_STA,3,4
137,VANE_MIL,3,4
138,XENU_CIN,3,4
